dataset_type,size_formation,comm_delay,comm_range,comm_failure,shape_error_avg_030s,shape_error_avg_1min,shape_error_avg_2min,shape_error_avg_3min,shape_error_avg_4min,shape_error_avg_5min,leader_off_avg_030s,leader_off_avg_1min,leader_off_avg_2min,leader_off_avg_3min,leader_off_avg_4min,leader_off_avg_5min,presence_error_avg_030s,presence_error_avg_1min,presence_error_avg_2min,presence_error_avg_3min,presence_error_avg_4min,presence_error_avg_5min
training,0.0625,0.11542939221762699,0.32786885245901637,0.2857142857142857,0.2914450461563652,0.28163010213510054,0.2588011299801884,0.25187399066969085,0.25045193343280553,0.24598108726620618,0.5633333333333334,0.4791666666666667,0.615,0.5591666666666667,0.480625,0.4475,0.21640625,0.219453125,0.17984375,0.18372829861111112,0.17859700520833333,0.17729947916666666
training,0.0625,0.11746793688427438,0.32786885245901637,0.42857142857142855,0.2787413142938059,0.2708569539648478,0.275259074884205,0.274123955228712,0.26921343980269646,0.25958770183684426,0.20166666666666666,0.30333333333333334,0.35041666666666665,0.3388888888888889,0.384375,0.3378333333333333,0.19778645833333333,0.21404947916666667,0.22701822916666667,0.2312282986111111,0.218310546875,0.21548958333333335
training,0.0625,0.11743241813784364,0.32786885245901637,0.5238095238095238,0.3029520660779505,0.29685543841838485,0.2752686970403022,0.2827731169897294,0.2853245317556632,0.28123940387629376,0.5816666666666667,0.6366666666666667,0.37083333333333335,0.4086111111111111,0.38979166666666665,0.3993333333333333,0.22028645833333332,0.23391927083333333,0.22166666666666668,0.2268967013888889,0.23155598958333334,0.22838541666666667
training,0.0625,0.11688669579509026,0.32786885245901637,0.6666666666666667,0.3214415899814293,0.326096927773237,0.3065647236654845,0.3142533133659571,0.31149780422054457,0.30090665209413486,0.435,0.505,0.36125,0.39916666666666667,0.43583333333333335,0.47883333333333333,0.2722395833333333,0.27075520833333333,0.26360677083333334,0.2837543402777778,0.27502604166666667,0.26619010416666666
training,0.0625,0.11628967586679238,0.32786885245901637,0.8095238095238096,0.32521588669347506,0.3380248798128679,0.3240295014012173,0.3190240882822804,0.32669541903470467,0.3172412031543442,0.5583333333333333,0.5983333333333334,0.5566666666666666,0.6283333333333333,0.665625,0.6346666666666667,0.31583333333333335,0.2947135416666667,0.2868880208333333,0.28042100694444444,0.28817057291666665,0.2934791666666667
training,0.0625,0.11729924074210986,0.32786885245901637,0.9523809523809524,0.3531980263199552,0.3424795530329599,0.33354111984658574,0.332226655214071,0.3245565585546574,0.31813911411936824,0.8416666666666667,0.7941666666666667,0.57125,0.5425,0.5285416666666667,0.5166666666666667,0.29606770833333335,0.312421875,0.3348046875,0.33022569444444444,0.3281022135416667,0.32677083333333334
training,0.0625,0.2936376951280939,0.32786885245901637,0.0,0.39001550359367393,0.3079266051369657,0.2289028954767967,0.22759933066114196,0.23769138070365528,0.2234459450600118,0.385,0.295,0.2920833333333333,0.3541666666666667,0.4375,0.44166666666666665,0.14119791666666667,0.13782552083333333,0.1143359375,0.12002170138888889,0.109033203125,0.1089296875
training,0.0625,0.29107150796334114,0.32786885245901637,0.14285714285714285,0.2808377537955275,0.23978782393696194,0.23259060650300792,0.24012204245066635,0.2435305190226986,0.24728696750419155,0.31,0.2658333333333333,0.34833333333333333,0.4008333333333333,0.4814583333333333,0.4548333333333333,0.11791666666666667,0.14639322916666667,0.17069010416666666,0.17639322916666667,0.16612955729166667,0.16791145833333335
training,0.0625,0.290726972724828,0.32786885245901637,0.2857142857142857,0.23447113249335377,0.2571228089762495,0.24870709558395657,0.24146996023346906,0.2534125834466479,0.248657052198915,0.37333333333333335,0.4058333333333333,0.4825,0.4386111111111111,0.5233333333333333,0.5045,0.173359375,0.22118489583333334,0.22821614583333333,0.21169270833333334,0.22415690104166666,0.2241953125
training,0.0625,0.2884299301410888,0.32786885245901637,0.42857142857142855,0.25559361026795635,0.27104943341467885,0.2599521066141114,0.2707867235168963,0.26622421957092685,0.2630769080549072,0.9983333333333333,0.88,0.7595833333333334,0.7094444444444444,0.628125,0.5691666666666667,0.24484375,0.22875,0.21235026041666666,0.22219184027777777,0.226591796875,0.21816927083333335
training,0.0625,0.29325560673778855,0.32786885245901637,0.5238095238095238,0.3683099106688571,0.340261200396415,0.33058879919966855,0.31096458636786756,0.3049942486586907,0.2934446614180485,0.6266666666666667,0.5458333333333333,0.6279166666666667,0.6136111111111111,0.5970833333333333,0.5411666666666667,0.33848958333333334,0.3266145833333333,0.32115234375,0.29910590277777777,0.28744140625,0.2768567708333333
training,0.0625,0.2911527096579056,0.32786885245901637,0.6666666666666667,0.3042616032651022,0.29857890928735714,0.2919689747300753,0.28373210888754374,0.3016652857195471,0.3042115110462745,0.30666666666666664,0.47583333333333333,0.6120833333333333,0.6305555555555555,0.6672916666666666,0.6521666666666667,0.3561197916666667,0.3644791666666667,0.34745442708333335,0.34437065972222225,0.3444596354166667,0.3339765625
training,0.0625,0.29227773850685185,0.32786885245901637,0.8095238095238096,0.30498184292191716,0.30797350468915324,0.29493301532550087,0.28139186753879186,0.28793105469314506,0.27707593144870835,0.6216666666666667,0.41,0.31583333333333335,0.32083333333333336,0.40875,0.431,0.3045572916666667,0.299609375,0.29375,0.2941232638888889,0.2945735677083333,0.2855546875
training,0.0625,0.28835221148917817,0.32786885245901637,0.9523809523809524,0.31310347002122624,0.31640852999063857,0.336680350878128,0.31600645819241474,0.3156510082328893,0.29332387756078404,0.5116666666666667,0.5858333333333333,0.67,0.5972222222222222,0.64875,0.5898333333333333,0.339453125,0.3326822916666667,0.3333658854166667,0.34206597222222224,0.347392578125,0.32447916666666665
