dataset_type,size_formation,comm_delay,comm_range,comm_failure,shape_error_avg_30s,shape_error_avg_1min,shape_error_avg_2min,shape_error_avg_5min
training,0.0625,0.8227916016355473,0.32786885245901637,0.2857142857142857,0.2919212021709896,0.3324841126421207,0.35918283022950315,0.35336778422636095
training,0.0625,0.8191698104917807,0.32786885245901637,0.42857142857142855,0.15634699531329496,0.2630755475262277,0.3009991658898547,0.2965459742502435
training,0.0625,0.8169736965489892,0.32786885245901637,0.5238095238095238,0.1802316242497194,0.3664812275803257,0.42379361954529865,0.37557035623999574
training,0.0625,0.8134479157958737,0.32786885245901637,0.6666666666666667,0.17119003331623858,0.24749381721641175,0.3364405111160348,0.3184651717669513
training,0.0625,0.8173743464602982,0.32786885245901637,0.8095238095238096,0.19970803432545786,0.2861072780930403,0.32860598123646445,0.3438534755098087
training,0.0625,0.8179561163639537,0.32786885245901637,0.9523809523809524,0.14455217507237683,0.23489788464268518,0.2857578655502908,0.3635424897231239
training,0.0625,0.9370232347836874,0.32786885245901637,0.0,0.20320153317641515,0.2511830007123857,0.2859883571185144,0.30572112842752514
training,0.0625,0.9244810525718612,0.32786885245901637,0.14285714285714285,0.21601431413644018,0.2793227138522694,0.2945227526453645,0.2816966812754431
training,0.0625,0.9287800006446414,0.32786885245901637,0.2857142857142857,0.17418198632033333,0.16866906331583176,0.2947359952464202,0.3059425473813648
training,0.0625,0.9262901278890227,0.32786885245901637,0.42857142857142855,0.27845383260976636,0.2458230627035297,0.3085405227429961,0.3173604505316325
training,0.0625,0.9393017139172726,0.32786885245901637,0.5238095238095238,0.3276916961199634,0.2963883801574272,0.34482173852481585,0.34544257665029804
training,0.0625,0.9345926976832449,0.32786885245901637,0.6666666666666667,0.21573488397524657,0.23127408601457025,0.28225816917596364,0.3272485269366236
training,0.0625,0.9310710489142386,0.32786885245901637,0.8095238095238096,0.1435259627431351,0.2392867604413116,0.3636060535999045,0.3702988951714429
training,0.0625,0.92892279278775,0.32786885245901637,0.9523809523809524,0.21367505344795687,0.2664755122225598,0.3233851038234262,0.34512437312034244
training,0.0625,0.0,0.4262295081967213,0.0,0.2142581342353617,0.21589337967610864,0.21648514873990762,0.21553880581600685
training,0.0625,0.0,0.4262295081967213,0.14285714285714285,0.14992387641420293,0.1721621004907189,0.19813790370049916,0.21393984970136523
training,0.0625,0.0,0.4262295081967213,0.2857142857142857,0.2144328499590193,0.22268313803272613,0.2258492855595611,0.24074132481202695
training,0.0625,0.0,0.4262295081967213,0.42857142857142855,0.23118872396079443,0.229577737073665,0.26073703178770924,0.2616524543050408
training,0.0625,0.0,0.4262295081967213,0.5238095238095238,0.2641415063945721,0.26682481205409164,0.2761220996419089,0.2721326788176686
training,0.0625,0.0,0.4262295081967213,0.6666666666666667,0.2855928307613719,0.2923450461150838,0.2912028429106537,0.28868792807220817
training,0.0625,0.0,0.4262295081967213,0.8095238095238096,0.28386266593002263,0.2931169477410566,0.29972107172285595,0.29750004897095383
training,0.0625,0.0,0.4262295081967213,0.9523809523809524,0.29393261492039574,0.2981190788291596,0.3065640102183553,0.31869928937822517
training,0.0625,0.11762613084238059,0.4262295081967213,0.0,0.16332541899796518,0.17424624343729747,0.19762976675391458,0.1883101684107591
training,0.0625,0.11638683075790568,0.4262295081967213,0.14285714285714285,0.18641630525702274,0.21049298544323491,0.22735530295837417,0.2290864086746769
training,0.0625,0.11745467415366284,0.4262295081967213,0.2857142857142857,0.22237471848602045,0.23752519144152723,0.25065121873069435,0.26389906151471537
training,0.0625,0.11714462713607182,0.4262295081967213,0.42857142857142855,0.23082919486242706,0.2379550867884689,0.2536574138288755,0.27045492825176054
training,0.0625,0.11571877106748997,0.4262295081967213,0.5238095238095238,0.2580366608397613,0.2676383355052321,0.287666097599182,0.28043755885720884
training,0.0625,0.11534992666149384,0.4262295081967213,0.6666666666666667,0.24451336964013395,0.26510327813526685,0.28338525059291253,0.2860374389200559
